Time_s,AccX_raw,AccY_raw,AccZ_raw,GyroX_raw,GyroY_raw,GyroZ_raw,Temp_C
0.000000,-4437,3206,16363,-5741,12261,-6996,24.05
0.053000,-9915,5060,5423,-2261,2831,1581,24.03
0.063000,-7109,-1010,15753,101,193,673,24.03
0.073000,-8497,234,15686,639,910,588,24.03
0.083000,-11222,-1319,15600,519,255,1201,24.05
0.093000,-10117,874,14852,1642,660,2534,24.05
0.103000,-10224,773,14728,1540,2458,1607,24.05
0.113000,-7895,66,15896,296,2954,487,24.05
0.123000,-8728,958,15084,-123,2417,-878,24.04
0.133000,-9468,1576,14826,529,4106,-3118,24.04
0.143000,-9028,833,15398,1285,5067,-5333,24.05
0.153000,-9276,50,15360,1534,5894,-5928,24.05
0.163000,-8876,-537,13921,322,6102,-5017,24.04
0.173000,-7940,-1335,14884,-632,5479,-3328,24.04
0.183000,-7462,-330,14689,-2462,5315,-1851,24.05
0.193000,-7462,362,15097,-3307,6106,-914,24.05
0.203000,-7392,429,15350,-3433,6431,-133,24.05
0.213000,-7910,35,15509,-3624,5941,1369,24.05
0.223000,-7807,966,15777,-3796,6442,2743,24.05
0.233000,-7963,1374,16328,-3582,7384,2628,24.05
0.243000,-8594,891,15607,-3135,8064,2451,24.03
0.253000,-11858,500,11744,1161,4182,1538,24.08
0.263000,-14837,-6241,6034,714,-265,2020,24.08
0.273000,-10777,-1070,12852,2632,1239,1729,24.03
0.283000,-11065,-130,11786,4043,513,-91,24.03
0.293000,-11037,-1471,11288,4192,-215,-1858,24.02
0.303000,-10881,-1919,12673,2788,-967,-2092,24.02
0.313000,-10748,-1765,11808,1092,-1501,-831,24.06
0.323000,-10281,-1265,13362,-281,-849,561,24.06
0.334000,-10554,145,13820,-712,553,722,24.06
0.344000,-10370,420,13973,-670,885,-361,24.06
0.354000,-10172,143,14351,-727,1148,-985,24.06
0.364000,-9984,843,14789,-1008,2049,-1649,24.06
0.374000,-9971,384,14599,-378,3304,-2704,24.01
0.384000,-9665,-61,13757,-255,4710,-2705,24.01
0.394000,-9762,-259,12527,-221,4092,-3002,24.06
0.404000,-10123,-1006,12159,-245,2575,-3141,24.06
0.414000,-12593,-2826,13644,1247,505,-1404,24.05
0.424000,-10395,1899,12240,2447,539,-1525,24.05
0.434000,-10678,385,14167,-297,690,-2406,24.07
0.444000,-9915,1416,13962,-98,408,-3376,24.07
0.454000,-10177,1040,14837,-1736,-124,-4068,24.10
0.464000,-11444,-134,14217,-1911,146,-5184,24.10
0.474000,-11346,369,14453,-666,715,-7198,24.06
0.484000,-11153,-157,14770,111,1050,-7584,24.06
0.494000,-11179,-1213,13949,514,1416,-6305,24.07
0.504000,-11195,-1330,13551,213,1918,-4338,24.07
0.514000,-10477,-1636,12989,135,1605,-2595,24.07
0.524000,-9730,-1295,12159,1,259,-1132,24.07
0.534000,-9527,-973,12309,-842,-2356,442,24.06
0.544000,-9948,-495,12761,-1017,-3738,752,24.06
0.572000,-10689,-599,14274,1554,-1609,-1359,24.07
0.582000,-11512,-2056,12831,3315,-2096,-1140,24.07
0.592000,-10295,-1179,12562,3805,-2573,-1126,24.10
0.602000,-11524,-879,13011,1349,-1742,-2773,24.10
0.612000,-12013,-1268,13767,1695,-191,-4061,24.03
0.622000,-11440,-1464,13316,3296,606,-4033,24.03
0.634000,-10593,-1779,12766,669,323,-3177,24.11
0.644000,-9881,-1506,14154,1244,-48,-2396,24.08
0.654000,-9801,-1037,13237,748,21,-2563,24.08
0.664000,-9835,-1508,14024,1078,-137,-1814,24.04
0.674000,-9235,22,12843,820,-347,-1523,24.04
0.684000,-9949,-1835,14086,926,-617,-96,24.03
0.694000,-9549,-782,13203,1110,-739,358,24.03
0.704000,-10183,-902,13384,747,186,368,24.06
0.714000,-10497,-604,13549,293,1292,-74,24.06
0.724000,-10634,-621,13368,234,1503,-445,24.09
0.734000,-10687,-942,12600,364,658,-795,24.09
0.744000,-10223,-1410,12346,655,-39,-1046,24.08
0.754000,-10113,-752,11949,1037,-839,-1782,24.08
0.764000,-10557,-1133,12639,953,-1559,-2822,24.08
0.774000,-10605,-936,13646,907,-1224,-2966,24.08
0.784000,-10695,-384,14325,879,-725,-2696,24.10
0.794000,-11374,-103,14962,854,-370,-2703,24.10
0.804000,-11649,-450,12948,823,543,-3175,24.11
0.814000,-10533,-585,14687,-1465,3145,-5013,24.11
0.824000,-8356,1389,15278,-3978,7271,-8736,24.07
0.834000,-7589,616,16300,-7602,10693,-12304,24.07
0.844000,-8546,-1287,15017,-10461,14376,-12791,24.08
0.854000,-9754,-2861,13207,-12439,15985,-9468,24.08
0.864000,-10096,-3593,15222,-14759,16561,-4479,24.05
0.874000,-7709,-11376,19768,-26535,21078,5277,24.05
0.884000,-9915,-9758,8489,-32764,24175,18791,24.05
0.894000,-15407,596,7865,-32764,22233,20029,24.05
0.904000,-17543,4229,2318,-24717,13405,11417,24.10
0.914000,-19150,2057,4073,-6636,2563,241,24.10
0.926000,-17818,-3953,7932,1881,-2,-4858,24.12
0.936000,-16533,-4682,9735,2308,988,-4196,24.06
0.946000,-16120,-3303,10082,2694,1691,-5064,24.06
0.956000,-15844,-2771,10660,4733,3758,-8000,24.11
0.966000,-14671,-4165,10175,5337,5719,-9970,24.11
0.976000,-12620,-6151,9269,4328,6059,-9372,24.06
0.986000,-11161,-7031,8820,808,4951,-6276,24.06
0.996000,-10242,-6605,8417,-3456,3544,-1574,24.07
1.006000,-11571,-5156,7936,-5075,1706,-355,24.07
1.016000,-13409,-3764,7682,-4895,188,-492,24.13
1.026000,-14462,-4028,7878,-3087,-1304,-1519,24.13
1.036000,-15194,-5044,8018,-583,-2648,-1975,24.05
1.076000,-13961,-4040,9138,2271,-6085,643,24.14
1.101000,-12806,-4707,7459,7980,-9556,-3550,24.07
1.111000,-11629,-5248,8061,8188,-10460,-2595,24.07
1.121000,-10910,-5024,8684,5904,-11366,-791,24.07
